Orig_singkat,New_Singkat,singkat_prior_2016,Order_latin,Family,Latin_name,Spp_common_name,Indonesia_name,Mark_comment_3_06,class,notes
NULL,ML,NULL,CORAC,MEROP,Nyctyornis amictus,Red-bearded bee-eater,Pemakan lebah berewok merah,NULL,Bird,NULL
NULL,CKX,CK,PASSE,MONAR,NULL,Paradise-Flycatchers and Monarch sp.,"Kipasan, Kehicap, Philentoma dan Seriwang",,Bird,NULL
NULL,MT,NULL,PASSE,MUSCI,Enicurus leschenaulti,White-Crowned Forktail,Meninting besar,NULL,Bird,Added 2016 (Camera Trap)
NULL,SBR,NULL,PASSE,MUSCI,Larvivora cyanea,Siberian Blue Robin,Berkecet Siberia,NULL,Bird,Added 2020 (Camera Trap)
NULL,DB,NULL,PASSE,MUSCI,Saxicola torquata,Stonechat sp.,Decu Batu,NULL,Bird,NULL
NULL,KCC,NULL,PASSE,MUSCI,Trichixos pyrropyga,Rufous-Tailed Shama,Kucica ekor kuning,NULL,Bird,Added 2016 (Camera Trap)
fp,FP,NULL,PASSE,NECTA,Dicaeum spp.,Flowerpecker,Semadu biasa,?,Bird,NULL
yb,YB,NULL,PASSE,NECTA,Prionochilus maculatus,Yellow-breasted Flowerpecker Prionochilus maculatus,Semadu dada kuning,,Bird,NULL
NULL,LBJ,NULL,NULL,NULL,NULL,"""Little brown job"".  Small unknown birds.",NULL,NULL,Bird,NULL
NULL,MPH,NULL,NULL,NULL,NULL,Black/white forktail,Murai hitam putih,NULL,Bird,NULL
NULL,PN,NULL,NULL,NULL,NULL,NULL,Perling,Red eyes,Bird,NULL
NULL,PPK,NULL,NULL,NULL,NULL,??,Burung pan-pan kut,NULL,Bird,NULL
NULL,RP,NULL,NULL,NULL,NULL,Raptors,NULL,NULL,Bird,NULL
NULL,UBX,UB,NULL,NULL,NULL,Unnamed bird,Burung tampa singkat,NULL,Bird,NULL
NULL,CKP,NULL,NULL,NULL,Tersiphone paradisi,Asian paradise flycatcher,Cabet kapan/Seriwang Asia,NULL,Bird,NULL
NULL,PYH,NULL,GALLI,PASSI,Melanoperdix nigra,Black Partridge,Puyuh hitam,NULL,Bird,Added 2016 (Cam trap)
NULL,RW,NULL,GALLI,PHASI,Argusianus argus,Argus pheasant,Ruwai,NULL,Bird,NULL
NULL,AHB,NULL,GALLI,PHASI,Lophura ignita,Crested Fireback,Ayam hutan/Sempidan biru,,Bird,NULL
cf,AHX,CF,GALLI,PHASI,Lophura spp,Unid Forest Chicken,Ayam hutan tidak tahu,,Bird,NULL
wp,WP,NULL,GALLI,PHASI,Rollulus rouloul,green wood partridge,Senayan,green wood partridge,Bird,NULL
